,split,Samples,Age,peaks,class
0,0,BRC2218,6.0,81892.0,Non-neural
1,1,BRC2218,6.0,83424.0,Rgl
2,2,BRC2218,6.0,91099.0,Nbl
3,3,BRC2218,6.0,86459.0,Neuron
4,4,BRC2218,6.0,85456.0,Gbl
5,0,BRC2230,9.0,84499.0,Non-neural
6,1,BRC2230,9.0,80365.0,Rgl
7,2,BRC2230,9.0,98020.0,Nbl
8,3,BRC2230,9.0,85109.0,Neuron
9,4,BRC2230,9.0,78343.0,Gbl
10,5,BRC2230,9.0,69325.0,OPC
11,1,BRC2237,7.0,75876.0,Rgl
12,2,BRC2237,7.0,81408.0,Nbl
13,3,BRC2237,7.0,78099.0,Neuron
14,4,BRC2237,7.0,79181.0,Gbl
15,1,BRC2256,7.0,93044.0,Rgl
16,2,BRC2256,7.0,94149.0,Nbl
17,3,BRC2256,7.0,86021.0,Neuron
18,4,BRC2256,7.0,91964.0,Gbl
19,1,BRC2260,9.0,85913.0,Rgl
20,2,BRC2260,9.0,120899.0,Nbl
21,3,BRC2260,9.0,104776.0,Neuron
22,4,BRC2260,9.0,94611.0,Gbl
23,1,BRC2262,8.0,109454.0,Rgl
24,3,BRC2262,8.0,115414.0,Neuron
25,1,BRC2269,6.0,93197.0,Rgl
26,2,BRC2269,6.0,106832.0,Nbl
27,3,BRC2269,6.0,106159.0,Neuron
28,4,BRC2269,6.0,99456.0,Gbl
29,4,BRC2289,8.0,103991.0,Gbl
30,1,BRC2305,7.0,112816.0,Rgl
31,2,BRC2305,7.0,121639.0,Nbl
32,3,BRC2305,7.0,121959.0,Neuron
33,3,BRC2306,9.0,109413.0,Neuron
34,1,BRC2329,9.0,80616.0,Rgl
35,3,BRC2329,9.0,79847.0,Neuron
36,1,BRC2330,7.0,87434.0,Rgl
37,2,BRC2330,7.0,100435.0,Nbl
38,3,BRC2330,7.0,94404.0,Neuron
39,4,BRC2330,7.0,96120.0,Gbl
40,0,H200476,13.0,110861.0,Non-neural
41,1,H200476,13.0,100670.0,Rgl
42,2,H200476,13.0,134331.0,Nbl
43,3,H200476,13.0,124050.0,Neuron
44,4,H200476,13.0,108036.0,Gbl
45,1,HDBR15583,8.0,108934.0,Rgl
46,2,HDBR15583,8.0,130019.0,Nbl
47,3,HDBR15583,8.0,122941.0,Neuron
48,4,HDBR15583,8.0,110397.0,Gbl
49,0,HDBR15598,13.0,103654.0,Non-neural
50,2,HDBR15598,13.0,127175.0,Nbl
51,3,HDBR15598,13.0,123939.0,Neuron
52,4,HDBR15598,13.0,111139.0,Gbl
53,3,HDBR15604,13.0,132088.0,Neuron
54,4,HDBR15604,13.0,107044.0,Gbl
55,0,HDBR15777,12.0,106688.0,Non-neural
56,1,HDBR15777,12.0,102089.0,Rgl
57,2,HDBR15777,12.0,124726.0,Nbl
58,3,HDBR15777,12.0,111396.0,Neuron
59,4,HDBR15777,12.0,102910.0,Gbl
60,5,HDBR15777,12.0,90196.0,OPC
61,2,HDBR15837,10.0,142549.0,Nbl
62,3,HDBR15837,10.0,123958.0,Neuron
63,4,HDBR15837,10.0,101606.0,Gbl
64,0,HDBR15853,13.0,99331.0,Non-neural
65,1,HDBR15853,13.0,98783.0,Rgl
66,2,HDBR15853,13.0,112976.0,Nbl
67,3,HDBR15853,13.0,110719.0,Neuron
68,4,HDBR15853,13.0,94020.0,Gbl
69,1,XDD395,6.0,87388.0,Rgl
70,2,XDD395,6.0,95516.0,Nbl
71,3,XDD395,6.0,92821.0,Neuron
72,0,XDD405,12.0,119826.0,Non-neural
73,1,XDD405,12.0,119826.0,Rgl
74,2,XDD405,12.0,141507.0,Nbl
75,3,XDD405,12.0,140262.0,Neuron
76,4,XDD405,12.0,115075.0,Gbl
77,5,XDD405,12.0,100784.0,OPC
78,0,XDD415,8.0,109871.0,Non-neural
79,1,XDD415,8.0,111284.0,Rgl
80,2,XDD415,8.0,138660.0,Nbl
81,3,XDD415,8.0,122597.0,Neuron
82,4,XDD415,8.0,115329.0,Gbl
83,0,XDD424,9.0,104537.0,Non-neural
84,1,XDD424,9.0,102620.0,Rgl
85,2,XDD424,9.0,118632.0,Nbl
86,3,XDD424,9.0,118405.0,Neuron
87,4,XDD424,9.0,106453.0,Gbl
88,5,XDD424,9.0,98690.0,OPC
89,2,XDD425,10.0,132592.0,Nbl
90,3,XDD425,10.0,127355.0,Neuron
91,4,XDD425,10.0,110952.0,Gbl
92,0,XDD431,9.0,64893.0,Non-neural
93,1,XDD431,9.0,73172.0,Rgl
94,2,XDD431,9.0,75859.0,Nbl
95,3,XDD431,9.0,69565.0,Neuron
96,4,XDD431,9.0,74215.0,Gbl
97,5,XDD431,9.0,66643.0,OPC
98,0,XDD436,12.0,100571.0,Non-neural
99,1,XDD436,12.0,95091.0,Rgl
100,3,XDD436,12.0,104630.0,Neuron
101,4,XDD436,12.0,101284.0,Gbl
