,ID,UMI,n_GENE
0,232_1,0.0,0.0
1,232_2,0.0,0.0
2,232_3,0.0,0.0
3,232_4,0.0,0.0
4,242_1,0.0,0.0
5,242_2,0.0,0.0
6,242_3,0.0,0.0
7,242_4,0.0,0.0
8,250_1,0.0,0.0
9,250_2,0.0,0.0
10,250_3,0.0,0.0
11,250_4,0.0,0.0
12,279_1,0.0,0.0
13,279_2,0.0,0.0
14,279_3,0.0,0.0
15,280_1,4927.0,2330.0
16,280_2,2795.0,1648.0
17,280_3,4820.5,2294.0
18,282_1,0.0,0.0
19,282_2,0.0,0.0
20,282_3,0.0,0.0
21,282_4,0.0,0.0
22,283_1,2920.0,1670.0
23,283_2,0.0,0.0
24,283_3,2390.0,1338.0
25,283_4,4241.5,2207.5
26,286_1,0.0,0.0
27,286_2,0.0,0.0
28,286_3,0.0,0.0
29,286_4,0.0,0.0
30,286_5,0.0,0.0
31,286_6,0.0,0.0
32,286_7,0.0,0.0
33,286_8,0.0,0.0
34,290_1,4116.0,2252.0
35,290_2,4775.0,2470.0
36,291_1,0.0,0.0
37,291_2,0.0,0.0
38,291_3,0.0,0.0
39,291_4,0.0,0.0
40,291_5,0.0,0.0
41,291_6,0.0,0.0
42,291_7,0.0,0.0
43,291_8,0.0,0.0
44,304_1,0.0,0.0
45,312_1,0.0,0.0
46,312_2,0.0,0.0
47,312_3,0.0,0.0
48,312_4,0.0,0.0
49,312_5,0.0,0.0
50,312_6,0.0,0.0
51,313_1,0.0,0.0
52,313_2,0.0,0.0
53,313_3,0.0,0.0
54,313_4,0.0,0.0
55,313_5,0.0,0.0
56,313_6,0.0,0.0
57,315_1,0.0,0.0
58,315_2,0.0,0.0
59,315_3,0.0,0.0
60,315_4,0.0,0.0
61,315_5,0.0,0.0
62,315_6,0.0,0.0
63,315_7,0.0,0.0
64,315_8,0.0,0.0
65,316_1,0.0,0.0
66,316_2,0.0,0.0
67,316_3,0.0,0.0
68,316_4,0.0,0.0
69,316_5,0.0,0.0
70,316_6,0.0,0.0
71,317_1,0.0,0.0
72,317_2,0.0,0.0
73,317_3,0.0,0.0
74,317_4,0.0,0.0
75,317_5,0.0,0.0
76,317_6,0.0,0.0
77,321_1,0.0,0.0
78,321_2,0.0,0.0
79,321_3,0.0,0.0
80,321_4,0.0,0.0
81,321_5,0.0,0.0
82,321_6,0.0,0.0
83,325_1,0.0,0.0
84,325_2,0.0,0.0
85,325_5,0.0,0.0
86,325_6,0.0,0.0
87,340_1,0.0,0.0
88,340_2,0.0,0.0
89,340_3,0.0,0.0
90,340_4,0.0,0.0
91,346_1,4453.5,2311.0
92,346_2,3549.0,1821.0
93,346_3,4244.0,2271.0
94,346_4,4014.0,2163.0
95,347_1,0.0,0.0
96,347_2,0.0,0.0
97,347_3,0.0,0.0
98,347_4,0.0,0.0
99,364_1,0.0,0.0
100,364_2,0.0,0.0
101,364_3,0.0,0.0
102,364_4,0.0,0.0
103,364_5,0.0,0.0
104,365_1,118.0,108.0
105,365_2,4856.0,2361.0
106,365_3,83.0,80.0
107,365_4,6046.5,2799.5
108,365_5,111.0,104.0
109,366_1,0.0,0.0
110,366_2,0.0,0.0
111,366_3,0.0,0.0
112,366_4,0.0,0.0
113,366_5,0.0,0.0
114,366_6,0.0,0.0
115,369_1,0.0,0.0
116,369_2,0.0,0.0
117,369_3,0.0,0.0
118,369_4,0.0,0.0
119,370_1,8137.0,3144.0
120,370_2,7800.0,3316.0
121,370_3,8382.0,3189.0
122,370_4,5559.0,2634.0
123,371_1,0.0,0.0
124,371_2,0.0,0.0
125,371_3,0.0,0.0
126,372_1,0.0,0.0
127,372_2,0.0,0.0
128,372_3,0.0,0.0
129,372_4,0.0,0.0
130,402_1,6884.0,3254.0
131,406_1,4224.0,2094.0
132,406_2,3905.0,1951.0
133,406_3,3167.0,1704.0
134,406_4,3059.0,1763.0
135,406_5,4372.0,2222.5
136,406_6,5907.0,2818.0
137,406_7,4740.0,2357.0
138,407_1,0.0,0.0
139,407_2,0.0,0.0
140,407_3,0.0,0.0
141,420_1,0.0,0.0
142,420_2,0.0,0.0
143,420_3,0.0,0.0
144,420_4,0.0,0.0
145,420_5,0.0,0.0
146,420_6,0.0,0.0
